date,SPY Open,SPY Close,SPY Volume,Bollinger middle,Bollinger Long,Bollinger STD,Bollinger Upper,Bollinger Lower,Signal
2000-07-20,149.0,150.625,4538900.0,146.73435500000005,148.54729999999995,2.191716143822134,150.02192921573325,143.44678078426685,-1
2000-08-16,149.3125,148.625,5191600.0,150.49451000000008,147.92810285714276,1.1669737582242274,152.24497063733642,148.74404936266373,1
2000-10-05,143.4062,144.1875,4566900.0,138.74607500000008,138.73212571428562,2.9274388669471616,143.13723330042083,134.35491669957932,-1
2000-10-18,132.625,134.25,10897300.0,139.83747500000007,137.7602428571428,2.802387998743832,144.0410569981158,135.63389300188433,1
2000-12-13,139.25,136.1406,6070500.0,131.5012350000001,133.15543714285698,2.5587712116973114,135.33939181754607,127.66307818245413,-1
2001-01-12,132.7,132.0,7244000.0,135.06078000000016,131.95473142857125,1.7680670264291807,137.71288053964395,132.40867946035638,1
2001-03-13,119.4,120.0,12888000.0,114.99000000000008,118.04857142857122,2.5673865474509348,118.84107982117648,111.13892017882368,-1
2001-04-26,123.7,123.7,10590700.0,127.09500000000006,126.92857142857125,2.2298158998449833,130.43972384976752,123.75027615023258,1
2001-07-03,124.0,124.1,3303100.0,120.5500000000001,120.03799999999984,1.578306887587422,122.91746033138124,118.18253966861896,-1
2001-07-11,118.1,118.4,15374000.0,120.79000000000012,119.59799999999986,1.3162546545469942,122.7643819818206,118.81561801817963,1
2001-09-10,107.7,110.1,23409000.0,104.48700000000012,106.19828571428557,3.5260057915321905,109.77600868729841,99.19799131270183,-1
2001-11-12,111.0,112.0,26096600.0,114.94500000000014,114.83999999999986,1.3184819819263789,116.9227229728897,112.96727702711057,1
2001-12-06,117.9,117.3,17972900.0,115.16000000000011,114.82428571428562,1.3624281728364245,117.20364225925475,113.11635774074547,-1
2001-12-14,112.3,113.1,16723100.0,115.4200000000001,114.2042857142856,1.0812273726657968,117.0418410589988,113.7981589410014,1
2002-01-31,112.2,113.2,19847000.0,110.62300000000005,113.01028571428559,1.500263485569982,112.87339522835502,108.37260477164507,-1
2002-03-01,111.7,113.7,26186600.0,115.74500000000008,114.41428571428561,1.2006467554621512,117.54597013319331,113.94402986680684,1
2002-04-19,113.2,112.9,10602500.0,108.62600000000012,108.0148571428571,1.9761855868065732,111.59027838020998,105.66172161979026,-1
2002-05-07,106.1,105.1,21591600.0,108.07600000000006,105.56171428571422,1.9539821687023913,111.00697325305364,105.14502674694648,1
2002-07-09,97.73,95.6,28458900.0,88.31350000000006,90.10885714285703,4.153359166773818,94.54353875016079,82.08346124983933,-1
