date,Close,SMA2,SMA13,Signal,Buy/Sell
2000-07-05,98.8425,,,0.0,
2000-07-06,99.6114,99.22695,,0.0,0.0
2000-07-07,101.2132,100.4123,,0.0,0.0
2000-07-10,101.0423,101.12774999999999,,0.0,0.0
2000-07-11,101.2559,101.14909999999999,,0.0,0.0
2000-07-12,101.918,101.58694999999997,,0.0,0.0
2000-07-13,102.3665,102.14224999999999,,0.0,0.0
2000-07-14,103.3703,102.86839999999998,,0.0,0.0
2000-07-17,103.1995,103.28489999999998,,0.0,0.0
2000-07-18,102.3558,102.77765,,0.0,0.0
2000-07-19,101.5336,101.94469999999998,,0.0,0.0
2000-07-20,102.9432,102.23839999999998,,0.0,0.0
2000-07-21,100.9356,101.93939999999996,101.58367692307692,1.0,1.0
2000-07-24,100.3589,100.64724999999996,101.70032307692307,0.0,-1.0
2000-07-25,100.6793,100.51909999999997,101.78246923076924,0.0,0.0
2000-07-26,99.6968,100.18804999999995,101.66582307692308,0.0,0.0
2000-07-27,99.3551,99.52594999999994,101.53603846153845,0.0,0.0
2000-07-28,97.1125,98.23379999999995,101.21731538461539,0.0,0.0
2000-07-31,97.7319,97.42219999999995,100.8953076923077,0.0,0.0
2000-08-01,98.3299,98.03089999999995,100.5848,0.0,0.0
2000-08-02,98.8211,98.57549999999995,100.23486153846153,0.0,0.0
2000-08-03,99.5046,99.16284999999993,99.95063846153845,0.0,0.0
2000-08-04,100.0385,99.77154999999993,99.77238461538461,0.0,0.0
2000-08-07,101.2346,100.63654999999994,99.74938461538461,1.0,1.0
2000-08-08,101.619,101.42679999999996,99.64752307692308,1.0,0.0
2000-08-09,100.7647,101.19184999999996,99.63437692307691,1.0,0.0
2000-08-10,100.2734,100.51904999999995,99.6278,1.0,0.0
2000-08-11,100.7433,100.50834999999995,99.63272307692309,1.0,0.0
2000-08-14,102.0248,101.38404999999997,99.8118,1.0,0.0
2000-08-15,101.9393,101.98204999999997,100.01058461538462,1.0,0.0
2000-08-16,101.5763,101.75779999999999,100.35395384615384,1.0,0.0
2000-08-17,102.6442,102.11024999999998,100.73182307692308,1.0,0.0
2000-08-18,102.3024,102.47329999999997,101.0374,1.0,0.0
2000-08-21,102.8577,102.58004999999994,101.3479076923077,1.0,0.0
2000-08-22,102.6869,102.77229999999993,101.59270000000001,1.0,0.0
2000-08-23,103.0926,102.88974999999995,101.82763076923077,1.0,0.0
2000-08-24,103.413,103.25279999999995,101.9952,1.0,0.0
2000-08-25,103.3703,103.39164999999994,102.12991538461539,1.0,0.0
2000-08-28,103.7227,103.54649999999992,102.35745384615386,1.0,0.0
2000-08-29,103.744,103.73334999999994,102.62442307692308,1.0,0.0
