Date,Bullish,Neutral,Bearish,Bull 8 wk mov avg,Bull 16 wk mov avg,Bear 8 wk mov avg,Bear 16 wk mov avg,Neutral 8 wk mov avg,Neutral 16 wk mov avg,Bull-Bear Spread,Close,Close in 4 wks,Close in 8 wks
7-15-88,0.26,0.37,0.37,0.31,0.49,0.21,0.22,0.48,0.49,-0.11,272.05,262.55,266.84
7-22-88,0.16,0.58,0.26,0.30,0.50,0.22,0.22,0.49,0.50,-0.10,263.50,260.24,270.65
7-29-88,0.23,0.54,0.23,0.29,0.50,0.23,0.23,0.48,0.50,0.00,272.02,259.68,269.76
8-5-88,0.21,0.49,0.30,0.29,0.50,0.24,0.23,0.48,0.50,-0.09,271.15,264.48,271.91
8-12-88,0.26,0.48,0.26,0.28,0.49,0.25,0.23,0.47,0.49,0.00,262.55,266.84,278.07
8-19-88,0.19,0.53,0.28,0.26,0.50,0.25,0.23,0.48,0.50,-0.09,260.24,270.65,275.50
8-26-88,0.28,0.40,0.32,0.24,0.50,0.27,0.24,0.49,0.50,-0.04,259.68,269.76,283.66
9-2-88,0.18,0.43,0.39,0.22,0.49,0.30,0.25,0.48,0.49,-0.21,264.48,271.91,278.53
9-9-88,0.17,0.52,0.31,0.21,0.49,0.29,0.25,0.50,0.49,-0.14,266.84,278.07,276.31
9-16-88,0.24,0.46,0.30,0.22,0.48,0.30,0.26,0.48,0.48,-0.06,270.65,275.50,267.92
9-23-88,0.20,0.53,0.27,0.22,0.48,0.30,0.27,0.48,0.48,-0.07,269.76,283.66,266.47
9-30-88,0.26,0.44,0.30,0.22,0.47,0.30,0.27,0.47,0.47,-0.04,271.91,278.53,267.23
10-7-88,0.13,0.49,0.38,0.21,0.47,0.32,0.28,0.48,0.47,-0.25,278.07,276.31,271.81
10-14-88,0.22,0.46,0.32,0.21,0.48,0.32,0.29,0.47,0.48,-0.10,275.50,267.92,277.03
10-21-88,0.26,0.51,0.23,0.21,0.48,0.31,0.29,0.48,0.48,0.03,283.66,266.47,276.29
10-28-88,0.40,0.38,0.22,0.24,0.48,0.29,0.30,0.47,0.48,0.18,278.53,267.23,277.87
11-4-88,0.35,0.46,0.19,0.26,0.48,0.28,0.29,0.47,0.48,0.16,276.31,271.81,277.72
11-11-88,0.23,0.56,0.21,0.26,0.48,0.27,0.28,0.48,0.48,0.02,267.92,277.03,280.67
11-18-88,0.30,0.34,0.36,0.27,0.47,0.28,0.29,0.46,0.47,-0.06,266.47,276.29,283.87
11-25-88,0.17,0.44,0.39,0.26,0.46,0.29,0.30,0.46,0.46,-0.22,267.23,277.87,286.63
12-2-88,0.19,0.47,0.34,0.27,0.46,0.28,0.30,0.45,0.46,-0.15,271.81,277.72,293.82
12-9-88,0.17,0.44,0.39,0.26,0.46,0.29,0.31,0.45,0.46,-0.22,277.03,280.67,296.97
12-16-88,0.24,0.54,0.22,0.26,0.47,0.29,0.30,0.45,0.47,0.02,276.29,283.87,292.02
12-23-88,0.22,0.46,0.32,0.23,0.47,0.30,0.30,0.46,0.47,-0.10,277.87,286.63,296.76
12-30-88,0.24,0.54,0.22,0.22,0.47,0.31,0.29,0.47,0.47,0.02,277.72,293.82,287.13
