date,Close,SMA215,SMA225,Signal,Buy/Sell
2000-07-05,98.8425,,,0.0,
2000-07-06,99.6114,,,0.0,0.0
2000-07-07,101.2132,,,0.0,0.0
2000-07-10,101.0423,,,0.0,0.0
2000-07-11,101.2559,,,0.0,0.0
2000-07-12,101.918,,,0.0,0.0
2000-07-13,102.3665,,,0.0,0.0
2000-07-14,103.3703,,,0.0,0.0
2000-07-17,103.1995,,,0.0,0.0
2000-07-18,102.3558,,,0.0,0.0
2000-07-19,101.5336,,,0.0,0.0
2000-07-20,102.9432,,,0.0,0.0
2000-07-21,100.9356,,,0.0,0.0
2000-07-24,100.3589,,,0.0,0.0
2000-07-25,100.6793,,,0.0,0.0
2000-07-26,99.6968,,,0.0,0.0
2000-07-27,99.3551,,,0.0,0.0
2000-07-28,97.1125,,,0.0,0.0
2000-07-31,97.7319,,,0.0,0.0
2000-08-01,98.3299,,,0.0,0.0
2000-08-02,98.8211,,,0.0,0.0
2000-08-03,99.5046,,,0.0,0.0
2000-08-04,100.0385,,,0.0,0.0
2000-08-07,101.2346,,,0.0,0.0
2000-08-08,101.619,,,0.0,0.0
2000-08-09,100.7647,,,0.0,0.0
2000-08-10,100.2734,,,0.0,0.0
2000-08-11,100.7433,,,0.0,0.0
2000-08-14,102.0248,,,0.0,0.0
2000-08-15,101.9393,,,0.0,0.0
2000-08-16,101.5763,,,0.0,0.0
2000-08-17,102.6442,,,0.0,0.0
2000-08-18,102.3024,,,0.0,0.0
2000-08-21,102.8577,,,0.0,0.0
2000-08-22,102.6869,,,0.0,0.0
2000-08-23,103.0926,,,0.0,0.0
2000-08-24,103.413,,,0.0,0.0
2000-08-25,103.3703,,,0.0,0.0
2000-08-28,103.7227,,,0.0,0.0
2000-08-29,103.744,,,0.0,0.0
2000-08-30,102.7509,,,0.0,0.0
2000-08-31,104.1178,,,0.0,0.0
2000-09-01,104.2246,,,0.0,0.0
2000-09-05,103.3916,,,0.0,0.0
2000-09-06,102.217,,,0.0,0.0
2000-09-07,103.0926,,,0.0,0.0
2000-09-08,102.3879,,,0.0,0.0
2000-09-11,102.2383,,,0.0,0.0
2000-09-12,101.4909,,,0.0,0.0
2000-09-13,101.7578,,,0.0,0.0
2000-09-14,102.2704,,,0.0,0.0
